ligand_id,tau_id,synID,SMILES,activity,2imi,d8v7j0,3rif,8sfy,8udb,8v3d
00001,1,17073442.0,C(CCCCCC)CCCCCC1=C(C(c2ccccc2C1=O)=O)OC(C)=O,1.0,-7.9,-7.7,-6.5,-6.6,-6.8,-7.3
00002,1,17034501.0,CC(C)(C)N=C1N(C(C)C)C(N(c2ccccc2)CS1)=O,1.0,-6.4,-7.6,-6.9,-6.8,-7.4,-6.9
00003,1,17066795.0,c1cc(ccc1OC(C(O)=O)C)Oc1oc2c(ccc(Cl)c2)n1,1.0,-8.4,-8.4,-7.3,-7.5,-7.5,-7.1
00004,1,155808780.0,c1c(CC)c(c(cc1)CC)N(C(=O)CCl)COCCCC,1.0,-6.7,-6.8,-5.0,-5.9,-6.2,-5.6
00005,1,155843365.0,c1(C)cccc(C)c1N(C(Cc1ccccc1)=O)C(C(OC)=O)C,1.0,-8.0,-7.5,-6.6,-7.1,-7.3,-7.2
00006,1,81147266.0,c1cc(ccc1)C(N(C(=O)CCl)CCOCC)=C(C)C,1.0,-7.3,-7.0,-5.7,-6.1,-6.9,-5.7
00007,1,17092872.0,CC(C)(C)C(C(=CC1CCCCC1)n1cncn1)O,1.0,-7.0,-7.6,-6.6,-6.9,-7.0,-6.6
00008,1,53315417.0,FC(F)(F)C=1N(C)C(N(c2ccc(cc2)OCc2c(OC(C)C(=O)OC)cc(cc2)CC)C(=O)C=1)=O,1.0,-7.9,-9.2,-7.0,-8.8,-8.3,-1.8
00009,1,7704198.0,FC(F)(F)c1cc(C(F)(F)F)cc(c1Cl)NC(NC(c1c(F)cccc1F)=O)=O,1.0,-9.1,-11.1,-9.5,-9.8,-9.0,-9.5
00010,1,17126885.0,ClC1(Cl)C(CC)(C(=O)NC(c2ccc(cc2)Cl)C)C1C,1.0,-7.7,-8.3,-6.7,-7.1,-7.6,-10.4
00011,1,17022720.0,C(ON=C(C)C(SC)C)(=O)NC,1.0,-5.1,-5.6,-4.8,-4.8,-4.7,-6.9
00012,1,17028809.0,c1(cc(ccc1N=C1SC=CN1C)C)C,1.0,-6.7,-6.9,-5.7,-6.1,-6.5,-8.0
00013,1,155787501.0,CC(C)C12OC(C)(CC1)C(OCc1c(C)cccc1)C2,1.0,-8.5,-7.9,-7.5,-7.9,-7.8,-8.0
00014,1,155843969.0,c1cc(ccc1OP(OC)(OC)=S)C#N,1.0,-5.8,-5.9,-5.3,-5.6,-5.4,-6.8
00015,1,17024408.0,CC(C)CCCC(CC=CC(=CC(OCC)=O)C)C,1.0,-6.5,-6.8,-5.3,-5.6,-6.1,-5.8
00016,1,17073600.0,c1cc(ccc1CSC(Cn1ncnc1)=Nc1c(Cl)cc(cc1)Cl)Cl,1.0,-7.4,-8.0,-7.7,-8.4,-7.4,-6.8
00017,1,155799036.0,c1(c(N(C(=O)CCl)C(C)COC)c(ccc1)CC)C,1.0,-6.5,-6.2,-5.2,-5.8,-6.0,-6.1
00018,1,155808288.0,O=C1CC(CC(=O)C1=C(NOCC(C)Oc1ccc(cc1)Cl)CCC)C1CCCSC1,1.0,-7.3,-7.2,-6.7,-7.7,-7.1,-5.9
00019,1,87402070.0,n1c(OC)cc(nc1Sc1cccc(Cl)c1C(=O)[O-])OC,1.0,-7.0,-7.3,-6.6,-7.4,-6.9,-5.7
