split_id,split_index,set,n,n_active,n_inactive
split_00,0,train,2536,1344,1192
split_00,0,test,635,336,299
split_01,1,train,2536,1344,1192
split_01,1,test,635,336,299
split_02,2,train,2536,1344,1192
split_02,2,test,635,336,299
split_03,3,train,2536,1344,1192
split_03,3,test,635,336,299
split_04,4,train,2536,1344,1192
split_04,4,test,635,336,299
split_05,5,train,2536,1344,1192
split_05,5,test,635,336,299
split_06,6,train,2536,1344,1192
split_06,6,test,635,336,299
split_07,7,train,2536,1344,1192
split_07,7,test,635,336,299
split_08,8,train,2536,1344,1192
split_08,8,test,635,336,299
split_09,9,train,2536,1344,1192
split_09,9,test,635,336,299
split_10,10,train,2536,1344,1192
split_10,10,test,635,336,299
split_11,11,train,2536,1344,1192
split_11,11,test,635,336,299
split_12,12,train,2536,1344,1192
split_12,12,test,635,336,299
split_13,13,train,2536,1344,1192
split_13,13,test,635,336,299
split_14,14,train,2536,1344,1192
split_14,14,test,635,336,299
split_15,15,train,2536,1344,1192
split_15,15,test,635,336,299
split_16,16,train,2536,1344,1192
split_16,16,test,635,336,299
split_17,17,train,2536,1344,1192
split_17,17,test,635,336,299
split_18,18,train,2536,1344,1192
split_18,18,test,635,336,299
split_19,19,train,2536,1344,1192
split_19,19,test,635,336,299
split_20,20,train,2536,1344,1192
split_20,20,test,635,336,299
split_21,21,train,2536,1344,1192
split_21,21,test,635,336,299
split_22,22,train,2536,1344,1192
split_22,22,test,635,336,299
split_23,23,train,2536,1344,1192
split_23,23,test,635,336,299
split_24,24,train,2536,1344,1192
split_24,24,test,635,336,299
split_25,25,train,2536,1344,1192
split_25,25,test,635,336,299
split_26,26,train,2536,1344,1192
split_26,26,test,635,336,299
split_27,27,train,2536,1344,1192
split_27,27,test,635,336,299
split_28,28,train,2536,1344,1192
split_28,28,test,635,336,299
split_29,29,train,2536,1344,1192
split_29,29,test,635,336,299
