m,mean_PR_AUC,std_PR_AUC,n_valid
1,0.6587273255206479,0.01759635577299274,3
2,0.6652121610541242,0.018697181636048273,3
3,0.6701944390242908,0.012871122462672836,3
4,0.6728609720254702,0.015729990587845393,3
5,0.6761989929171999,0.011930309270572226,3
6,0.6777542191124444,0.011408303748457893,3
7,0.6683783794045075,0.019729784225377557,3
8,0.663690731313919,0.010571704693790412,3
9,0.6637559486542964,0.01107413261059422,3
10,0.6668068794043952,0.011937868072785962,3
11,0.6685733570586158,0.012776199214282339,3
12,0.6688089436443393,0.013139535516797411,3
13,0.669825493022468,0.012261279581207409,3
14,0.6704346968950702,0.012574449485071418,3
15,0.6705763494954672,0.012340203274514907,3
16,0.6707501986151954,0.011931030034723957,3
17,0.6721310686795002,0.011556823263918116,3
18,0.6729042932151721,0.011241956852748803,3
19,0.6719219339038602,0.009637494372421581,3
20,0.6749064398776414,0.014448151795352653,3
21,0.6728373750321377,0.01264387182964235,3
22,0.6727941713672857,0.012246724428672801,3
23,0.6805846773453599,0.0076100967709571785,3
24,0.6808419322792196,0.007447524840525921,3
25,0.6809935027744455,0.008209176056239139,3
26,0.6811677771729728,0.007854423911537078,3
27,0.6847109386524922,0.013710698218275684,3
28,0.68498117715941,0.013483030678058092,3
29,0.6851117154522095,0.013420231639097984,3
30,0.6901632139125238,0.01275303483386966,3
31,0.6895832150713774,0.014194062190422853,3
32,0.6893485522824004,0.013971317458961617,3
33,0.6864325208648858,0.017863754564621862,3
34,0.6865793959150349,0.01803694133324994,3
35,0.6849876236244699,0.017457523024528073,3
36,0.6898260098036544,0.010512718090725228,3
37,0.6893848315582556,0.008545450326301779,3
38,0.689421801326704,0.008478849615366947,3
39,0.6912486432427816,0.00912289204193365,3
40,0.693132188564238,0.00868847749181977,3
41,0.6930924568567555,0.00688476366507589,3
42,0.6959230378285564,0.008322352104373537,3
43,0.6981252490626675,0.007498041065006936,3
44,0.699694303861016,0.008033715732264407,3
45,0.6996100217211172,0.007891869674300847,3
46,0.6999237703379512,0.007722467171882661,3
47,0.6998451288499906,0.007663144841412024,3
48,0.6991750322070905,0.007090572386709858,3
49,0.7004937765562009,0.005503169851246486,3
50,0.7005123555023643,0.005521736500232393,3
