m,mean_PR_AUC,std_PR_AUC,n_valid
1,0.6737745657702737,0.01770923776682836,3
2,0.6965468481432927,0.013998416829313612,3
3,0.7010217399812971,0.015318630002125853,3
4,0.7137357330554229,0.01776400019817489,3
5,0.7128108839326642,0.017712918796399777,3
6,0.7146263923877739,0.016681007921405165,3
7,0.7138564511797556,0.01764325676035081,3
8,0.7113932817263556,0.021135240888206685,3
9,0.7172757588416928,0.016357130243779373,3
10,0.7196548242540587,0.01826189276546572,3
11,0.7252274481837561,0.01666733059777002,3
12,0.7256138529287713,0.016608928139334466,3
13,0.7287381809765355,0.016933119970137682,3
14,0.7280840045621934,0.017147263328103995,3
15,0.7256361037219702,0.0160687914366676,3
16,0.7261091955300962,0.01568298725465676,3
17,0.7256507324560421,0.01602317634085099,3
18,0.7247240016470607,0.015310292635983904,3
19,0.7253118519823358,0.013584441076996037,3
20,0.7275950370392538,0.013256078820863612,3
21,0.7278591494149312,0.013096342523529822,3
22,0.7297314810277916,0.014845352978192642,3
23,0.7299065916006588,0.014949281071095489,3
24,0.7308550456143555,0.01541233866861102,3
25,0.731003899953547,0.015669225489364308,3
26,0.7305329459790805,0.01571047851797323,3
27,0.7312716103167362,0.01689129743720666,3
28,0.7311953673870533,0.01687478331618094,3
29,0.7332527764175362,0.018944600549582007,3
30,0.7333620289212535,0.01917162990714043,3
31,0.7334308789434076,0.019103857661048843,3
32,0.7346398903095063,0.01778734417810488,3
33,0.7343046177879266,0.019091270403479698,3
34,0.734349374031151,0.0191551604986452,3
35,0.7347581490993385,0.018906716297818645,3
36,0.7348656763945888,0.019051937935638644,3
37,0.7351069431203824,0.019066281450711417,3
38,0.7354363915658272,0.01884574373576064,3
39,0.7352702395420208,0.01700394523272563,3
40,0.7350980108788202,0.019343705954030576,3
41,0.7352298642391789,0.019787671001499394,3
42,0.7355113851203874,0.019546337283753934,3
43,0.7357238146924036,0.019577783550704084,3
44,0.7357602202849142,0.01953922071629322,3
45,0.7366068138744017,0.018532838982929425,3
46,0.7364517512220399,0.018278139828766787,3
47,0.7363804312319066,0.018359560423310443,3
48,0.7363920806482916,0.0183512616510747,3
49,0.7364255717087934,0.01835350741036446,3
50,0.7363821091079809,0.0183428327359534,3
